WMO_index,Station,Latitude,Longitude,Region
89050,BELLINGSHAUSEN,-62.1997222222,-58.8936111111,
89575,DRUZHNAYA-4,-69.7419444444,73.7058333333,
89657,LENINGRADSKAJA,-69.5011111111,159.3855555556,
89592,MIRNYJ (89592-0),-66.5519444444,93.0147222222,
89542,MOLODEZNAJA,-67.6597222222,45.8513888889,
MIR,Mirny,-66.5500030518,93.0,
89512,NOVOLAZAREVSKAJA,-70.7677777778,11.8316666667,
NLZ,Novolazarevskaya-Forster,-70.7699966431,11.8699998856,
89601,OAZIC BANGERA,-66.2744444444,100.7461111111,
89574,PROGRESS,-69.3780555556,76.3905555556,
89132,RUSSKAJA,-74.7594444444,-136.7927777778,
89606,VOSTOK,-78.4641666667,106.8658333333,
VST,Vostok,-78.2699966431,106.5100021362,
29862,ABAKAN,53.7666666667,91.3166666667,21
29485,ABAN,56.6816666667,96.0575,10
29467,ACHINSK,56.2833333333,90.5166666667,10
23383,AGATA,66.926111,93.4925,10
24684,AGAYAKAN,63.3333333333,141.7333333333,54
29676,AGINSKOE (29676-0),55.27,94.8997222222,10
30859,AGINSKOE (30859-0),51.1,114.5166666667,11
31825,AGZU,47.6,138.4,82
25042,AJON,69.9186111111,167.9688888889,78
35037,AK'JAR,51.8730555556,58.2230555556,83
35127,AK-BULAK,51.0166666667,55.6333333333,81
30957,AKSA,50.2666666667,113.2666666667,11
28719,AKSAKOVO,54.0247222222,54.1472222222,83
28248,ALAPAEVSK,57.8666666667,61.7,12
31004,ALDAN,58.6166666667,125.3666666667,54
29937,ALEJSKAJA,52.5166666667,82.7666666667,1
32061,ALEKSANDROVSK-SAHALINSKIJ,50.9,142.1666666667,53
29059,ALEKSANDROVSKIJ SHLYUZ,59.4347222222,89.2861111111,10
30971,ALEKSANDROVSKIJ ZAVOD,50.9166666667,117.9333333333,11
23955,ALEKSANDROVSKOE,60.4333333333,77.8666666667,24
25916,ALEVINA (MYS),58.8333333333,151.35,
23939,ALTAJ,60.3333333333,68.9666666667,6
29894,ALYGDZER,53.6333333333,98.2166666667,14
30682,AMAZAR,53.8666666667,120.8666666667,11
23022,AMDERMA,69.7833333333,61.6577777778,
24962,AMGA,60.9,131.9833333333,54
21608,ANABAR,73.2166666667,113.5,
25563,ANADYR',64.7833333333,177.5666666667,
29674,ANASTASINO,55.1219444444,93.3838888889,10
25017,ANDRYUSHKINO,69.1666666667,154.5,54
30715,ANGARSK,52.4833333333,103.85,14
23058,ANTIPAJUTA,69.1038888889,76.8580555556,69
31981,ANUCINO,43.9666666667,133.0666666667,82
25956,APUKA,60.4333333333,169.6666666667,74
31594,ARHARA,49.4166666667,130.0833333333,38
24988,ARKA,60.0833333333,142.3333333333,77
29772,ARTEMOVSK,54.3475,93.435,10
28346,ARTEMOVSKIJ,57.3666666667,61.9166666667,12
28522,ASKINO,56.1102777778,56.5736111111,83
31921,ASTRAHANKA,44.7166666667,132.0666666667,82
28908,AVANGARD ZERNOSOVHOZ,52.6166666667,51.2833333333,20
31168,AYAN,56.45,138.15,77
30822,BABUSKIN,51.7083333333,105.8519444444,31
29827,BAEVO,53.2772222222,80.7783333333,1
30554,BAGDARIN (30554-0),54.4416666667,113.5805555556,31
30554,BAGDARIN (30554-1),54.4666666667,113.5833333333,31
30557,BAGDARIN (RS),54.4666666667,113.5833333333,31
23776,BAHTA,62.4638888889,89.005,10
25335,BAIMKA,66.5333333333,164.2833333333,78
30627,BAJANDAJ,53.1,105.5333333333,14
23891,BAJKIT,61.6666666667,96.3666666667,10
28615,BAKALY,55.1830555556,53.79,83
29328,BAKCHAR,57.0072222222,82.0625,24
30612,BALAGANSK,54.0,103.0666666667,14
29662,BALAHTA,55.385,91.6216666667,10
29612,BARABINSK,55.3544444444,78.3083333333,49
30636,BARGUZIN,53.6166666667,109.6333333333,31
29838,BARNAUL (29838-0),53.4333333333,83.5166666667,1
29839,BARNAUL (29839-0),53.5,83.8333333333,1
24263,BATAGAJ,67.65,134.6833333333,54
24261,BATAGAJ-ALYTA,67.8,130.3833333333,54
24656,BATAMAJ,63.5166666667,129.4833333333,54
30457,BAUNT,55.2633333333,113.1388888889,31
29962,BEJA (29962-0),53.05,90.9166666667,21
24194,BELAYA GORA,68.55,146.2166666667,54
35125,BELJAEVKA,51.4166666667,56.4166666667,81
31513,BELOGORSK,50.9166666667,128.4666666667,38
28831,BELORECK,53.9691666667,58.3558333333,83
29745,BELOVO,54.4555555556,86.3486111111,76
24758,BERDIGESTYAH,62.2666666667,127.0666666667,54
23631,BEREZOVO,63.9186111111,65.5272222222,6
25677,BERINGOVSKAJA,63.0166666667,179.2833333333,78
24449,BESTYAHSKAYA ZVEROFERMA,65.3,124.166,54
31792,BICEVAJA,47.7666666667,135.6333333333,77
30934,BICURA,50.6,107.5833333333,31
29939,BIJSK ZONAL'NAYA,52.675,84.9255555556,1
31832,BIKIN,46.8,134.2666666667,77
25147,BILIBINO,68.05,166.45,78
31713,BIROBIDZHAN,48.7333333333,132.95,72
28621,BIRSK,55.4044444444,55.5538888889,83
28138,BISER,58.5166666667,58.85,15
31510,BLAGOVESCETNSK,50.2802777778,127.4783333333,38
30253,BODAJBO,57.8647222222,114.2391666667,14
31958,BOGOPOL',44.25,135.45,82
31439,BOGORODSKOE,52.3833333333,140.4666666667,77
29553,BOGOTOL,56.2288888889,89.5533333333,10
29282,BOGUCANY,58.3833333333,97.45,10
30618,BOHAN,53.1333333333,103.7666666667,14
25707,BOHAPCHA,62.0969444444,150.6752777778,63
32562,BOL' SHERETZK,52.8333333333,156.3,74
35001,BOL'SAJA GLUSCICA,52.3833333333,50.4666666667,20
29471,BOL'SHAJA MURTA,56.895,93.1644444444,10
28593,BOL'SHERECH'E,56.0944444444,74.61,50
31174,BOL'SHOJ SHANTAR,54.8333333333,137.5333333333,77
28491,BOL'SIE UKI,56.9333333333,72.6666666667,50
29464,BOL'SOJ ULUJ,56.6561111111,90.5886111111,10
29539,BOLOTNOE,55.6666666667,84.4,49
31253,BOMNAK,54.7166666667,128.8666666667,38
23884,BOR,61.5805555556,90.0305555556,10
30965,BORZYA,50.4,116.5166666667,11
25919,BRAT' EV (MYS),59.1,153.3333333333,63
31521,BRATOLJUBOVKA,50.7833333333,129.3333333333,38
30309,BRATSK,56.2833333333,101.75,14
30307,BRATSK II,56.3705555556,101.6983333333,14
35041,BREDY,52.4333333333,60.35,33
25927,BROHOVO,59.65,154.2666666667,
28711,BUGUL'MA,54.6319444444,52.8008333333,23
28806,BUGURUSLAN,53.6166666667,52.45,81
25034,BUHTA AMBARCIK,69.6166666667,162.3,54
25594,BUHTA PROVIDENJA,64.3833333333,-173.2333333333,78
31348,BURUKAN,53.05,136.0333333333,77
28455,BUTKA,56.7166666667,63.7666666667,12
31011,BUYAGA,59.6666666667,127.05,54
28909,BUZULUK,52.8166666667,52.2166666667,81
21821,BYKOV (MYS),72.0041666667,129.1180555556,54
BGZ,Barguzin,54.2000007629,109.5,31
BER,Bering Island,55.2000007629,165.9799957275,
BSH,Bol'shaya Elan,46.9199981689,142.7299957275,53
30138,CECUJSK,58.1,108.6833333333,14
31469,CEGDOMYN,51.1666666667,132.95,77
31532,CEKUNDA,50.8666666667,132.25,77
28705,CELNO-VERSINY,54.4166666667,51.1,20
29654,CENTRAL'NYJ RUDNIK,55.2061111111,87.6416666667,76
28799,CERLAK,54.1666666667,74.8,50
28128,CERMOZ,58.7666666667,56.2,15
24739,CHAINGDA,62.2833333333,119.85,54
29602,CHANY,55.3155555556,76.7522222222,49
30372,CHARA,56.9,118.2666666667,11
25151,CHAUN,68.8833333333,170.7833333333,78
28645,CHELYABINSK-GOROD,55.15,61.3,33
36058,CHEMAL,51.3875,86.0213888889,70
25941,CHEMURNAUT,60.7333333333,163.0166666667,74
23914,CHERDYN',60.4,56.5166666667,15
24724,CHERNISHEVSKIJ,63.0333333333,112.4833333333,54
31371,CHERNJAEVO,52.7833333333,126.0,38
28428,CHERNUSKA,56.5,56.1333333333,15
30766,CHERNYSHEVSK,52.5333333333,117.0,11
25123,CHERSKIJ,68.75,161.2833333333,
29393,CHERVYANKA,57.65,99.5333333333,14
30758,CHITA,52.0833333333,113.4833333333,11
21946,CHOKURDAH,70.6166666667,147.8833333333,54
24538,CHUMPURUK,64.2333333333,116.9166666667,54
24768,CHURAPCA,62.0333333333,132.6,54
31123,CJUL'BJU,57.7666666667,130.9,54
31939,CUGUEVKA,44.15,133.8666666667,82
30393,CUL'MAN,56.8333333333,124.8666666667,54
28704,CULPANOVO,54.4925,50.4127777778,23
29625,CULYM,55.1,80.9666666667,49
30714,DABADY,52.1,102.7,14
31873,DAL'NERECHENSK,45.8666666667,133.7333333333,82
24691,DELYANKIR,63.8333333333,145.6,54
28076,DEM'JANSKOE,59.6,69.2833333333,35
24076,DEPUTATSKIJ,69.3333333333,139.6666666667,54
32133,DOLINSK,47.3333333333,142.8,53
30972,DONO,50.8833333333,118.5833333333,11
24826,DOROZHNYJ,61.6166666667,114.6166666667,54
31318,DUGDA,53.35,130.0,38
28537,DUVAN,55.7158333333,57.8991666667,83
21908,DZALINDA (21908-0),70.1333333333,113.9666666667,54
30695,DZALINDA (30695-0),53.4666666667,123.9,
