WMO_index,lat,lng,region_id
29766,54.365,92.15,10
24477,65.3,135.8,54
23274,67.4666666667,86.5666666667,10
30686,53.4666666667,122.4,38
30028,59.2833333333,106.1666666667,14
30507,54.1833333333,100.0833333333,14
25248,67.25,167.9666666667,78
32121,47.9833333333,142.2,
31416,52.4166666667,136.5,77
20946,70.4466666667,59.0911111111,47
20667,73.3327777778,70.0663888889,69
21721,72.4,126.35,54
30703,52.9666666667,101.9833333333,14
29587,55.6636111111,95.4975,10
30710,52.2666666667,104.3166666667,14
30791,52.2672222222,104.3844444444,14
28573,56.1,69.4333333333,35
28688,54.9372222222,71.2702777778,50
24951,60.8166666667,125.3166666667,54
23921,60.6833333333,60.45,12
28411,56.8333333333,53.45,60
23503,65.0333333333,53.9666666667,8
20471,75.9519444444,82.9463888889,10
IFY,67.4700012207,86.5699996948,10
IRK,52.2599983215,104.3499984741,14
31935,44.4166666667,133.4833333333,82
24959,62.0166666667,129.7166666667,54
28419,56.2769444444,54.9680555556,83
23987,60.2533333333,90.2019444444,10
21931,70.7666666667,136.2166666667,54
32165,44.0166666667,145.8666666667,
32150,46.95,142.7166666667,53
30729,52.0541666667,106.6416666667,31
29563,56.1166666667,92.2,10
30622,53.9666666667,105.9,14
30978,49.8333333333,118.3833333333,11
28696,55.0194444444,74.6061111111,50
30469,55.1166666667,116.7666666667,11
29822,53.8166666667,81.2666666667,1
28449,56.4333333333,61.8666666667,12
25745,62.4672222222,166.2125,74
28451,56.85,62.7166666667,12
25469,65.1833333333,176.7666666667,78
31102,57.65,125.9666666667,54
29581,56.2016666667,95.6483333333,10
36073,52.2638888889,90.7916666667,10
29814,53.7333333333,78.0222222222,49
29874,53.5902777778,92.8822222222,10
20978,70.0833333333,83.1666666667,10
29122,59.0652777778,80.8466666667,24
28941,53.05,60.6666666667,33
30853,51.6333333333,114.3166666667,11
30337,56.3166666667,107.6166666667,14
29374,57.665,93.2505555556,10
29876,53.6861111111,94.2041666667,10
23774,62.4833333333,86.2777777778,10
29562,56.1,91.6666666667,10
29642,55.2333333333,86.1166666667,76
29645,55.25,86.2166666667,76
23699,62.7125,101.1161111111,10
21636,73.3358333333,139.8688888889,
24933,60.95,119.3,54
30230,57.7666666667,108.0666666667,14
31878,45.1,133.5,82
28009,59.35,52.25,7
24606,63.59,103.95,10
30925,50.3638888889,106.4516666667,31
21921,70.6833333333,127.4,54
32389,56.3166666667,160.8333333333,74
36021,52.2625,79.1986111111,1
29626,55.0327777778,82.2388888889,49
29724,54.3361111111,80.4722222222,49
23748,62.1947222222,74.5369444444,6
29231,58.3166666667,82.95,24
24894,61.85,147.6666666667,63
25121,68.7333333333,158.7166666667,54
29631,55.3222222222,82.7388888889,49
24928,60.2666666667,111.7333333333,54
29759,54.3333333333,89.2833333333,21
31561,50.5333333333,137.0333333333,77
25129,68.15,161.1666666667,78
25503,64.75,153.9666666667,63
23862,61.5361111111,82.4230555556,6
36259,50.0075,88.6730555556,70
23207,67.0283333333,51.1411111111,47
29532,56.2555555556,83.9638888889,24
29649,55.0066666667,86.8116666667,76
29813,53.9888888889,79.2533333333,49
23465,65.7066666667,82.4547222222,69
28434,56.65,57.7833333333,12
30935,50.3666666667,108.75,11
31845,46.5333333333,135.3166666667,82
29524,55.8597222222,80.0602777778,49
24763,62.8166666667,134.4333333333,54
24737,62.2666666667,116.15,54
32519,54.6166666667,161.2,74
30675,53.55,118.7166666667,11
28116,59.0166666667,54.65,15
21937,70.0333333333,135.6666666667,54
28165,58.7166666667,66.0833333333,6
28326,57.4166666667,56.9333333333,15
36325,50.6030555556,97.52,58
29706,54.3861111111,77.3097222222,49
31632,49.9333333333,134.6333333333,77
28661,55.4566666667,65.4011111111,4
28659,54.9166666667,64.4333333333,4
23788,62.3133333333,92.1152777778,10
29849,53.3408333333,87.1841666667,76
28238,57.8333333333,58.65,15
30949,49.5666666667,111.9666666667,11
29405,56.6061111111,76.5633333333,49
36096,51.7166666667,94.5,58
HZR,53.2000007629,107.3300018311,14
KOT,76.0,137.8699951172,
KRS,56.0,92.8799972534,10
25627,63.3,158.5,63
23867,61.1,80.25,6
29768,54.1916666667,91.5833333333,10
31710,47.95,132.6166666667,72
24923,60.7166666667,114.8833333333,54
31788,47.15,134.3333333333,77
28064,59.6333333333,65.7166666667,6
31263,54.7333333333,130.45,38
29253,58.4555555556,89.4694444444,10
23708,62.2333333333,52.4833333333,8
28234,58.1166666667,57.7833333333,15
30814,51.8333,104.8833,14
30074,59.9333333333,117.6,54
25904,60.6,150.7,63
25913,59.55,150.7833333333,63
31295,53.4666666667,125.8166666667,38
28838,53.35,59.0833333333,33
29209,57.8111111111,77.2166666667,24
28666,55.25,67.3,4
31583,49.7833333333,129.9166666667,38
31884,45.4166666667,134.2666666667,82
20744,72.3744444444,52.7161111111,27
20744,72.3666666667,52.7,
30157,58.3166666667,112.8666666667,14
30252,57.8166666667,114.0166666667,14
23032,69.7141666667,66.8144444444,69
29551,56.1833333333,87.6833333333,76
25551,64.6833333333,170.4166666667,78
29736,54.3355555556,84.2083333333,49
31443,51.6333333333,128.8166666667,38
28925,52.9327777778,55.9194444444,83
28517,55.7186111111,53.0694444444,23
20087,79.5513888889,90.5722222222,10
29571,56.0666666667,92.7333333333,10
29866,53.7166666667,91.7,10
24726,62.5333333333,113.8666666667,54
28741,54.55,60.3,33
30673,53.75,119.7333333333,11
30843,51.7333333333,112.0,11
29332,57.5758333333,83.7602777778,24
30802,51.6833333333,100.9833333333,31
29632,55.3166666667,83.6,49
29276,58.1836111111,94.7377777778,10
28409,56.4333333333,52.2,60
36278,50.3816666667,90.4338888889,58
28612,55.3094444444,53.1844444444,23
24807,61.3277777778,100.4763888889,10
23426,65.4044444444,64.7033333333,69
20094,79.28,101.6219444444,10
